,name,priority,total_observations,total_observations_recent,exoclock_observations,exoclock_observations_recent,etd_observations,etd_observations_recent,space_observations,space_observations_recent,literature_midtimes,literature_midtimes_recent,current_oc_min,discovery_ref,depth_r_mmag,duration_hours,ephem_mid_time,ephem_mid_time_e1,ephem_mid_time_e2,ephem_mid_time_format,ephem_mid_time_units,ephem_period,ephem_period_e1,ephem_period_e2,ephem_period_units,ephem_parameters_ref,eccentricity,eccentricity_e1,eccentricity_e2,inclination,inclination_adjusted,inclination_e1,inclination_e2,inclination_units,periastron,periastron_e1,periastron_e2,periastron_units,rp_over_rs,rp_over_rs_adjusted,rp_over_rs_e1,rp_over_rs_e2,rp_over_rs_units,sma_over_rs,sma_over_rs_adjusted,sma_over_rs_e1,sma_over_rs_e2,sma_over_rs_units,transit_parameters_ref,kepler_rp_over_rs,kepler_rp_over_rs_e1,kepler_rp_over_rs_e2,tess_rp_over_rs,tess_rp_over_rs_e1,tess_rp_over_rs_e2,star,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,logg,logg_e1,logg_e2,logg_units,meta,meta_e1,meta_e2,meta_units,teff,teff_e1,teff_e2,teff_units,ldc_parameters_ref,min_telescope_inches,min_telescope_inches_hf,expected_transit_snr_tess,t0_bjd_tdb,t0_unc,period_days,period_unc
Qatar-5b,Qatar-5b,low,30,12,21,12,0,0,6,0,3,0,-1.91,2017AJ....153..200A,14.94,2.9,2457593.01599,0.00014,-0.00014,BJD_TDB,Days,2.87929997,7e-07,-7e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.7,False,0.9,-0.9,Degrees,0.0,0.0,-0.0,Degrees,0.1061,False,0.0013,-0.0013,None,8.3,False,0.3,-0.3,None,2017AJ....153..200A,0.0,0.0,-0.0,0.0,0.0012,-0.0012,Qatar-5,00:28:12.9437,+42:03:40.943,12.82,12.86,12.524,4.43,0.04,-0.04,cm/s2,0.38,0.08,-0.08,dex Fe/H or M/H,5747.0,49.0,-49.0,Kelvin,2017AJ....153..200A,7.53,7.53,26.45,2457593.01599,0.00014,2.87929997,7e-07
Qatar-6b,Qatar-6b,low,18,14,18,14,0,0,0,0,0,0,5.1,2018AJ....155...52A,19.68,1.59,2457784.0327,0.00049,-0.00049,BJD_TDB,Days,3.506195,1.8e-05,-1.8e-05,Days,2018AJ....155...52A,0.0,0.0,-0.0,86.01,False,0.14,-0.14,Degrees,0.0,0.0,-0.0,Degrees,0.151,False,0.007,-0.007,None,12.61,False,0.22,-0.22,None,2018AJ....155...52A,0.0,0.0,-0.0,0.0,0.0,-0.0,Qatar-6,14:48:50.4764,+22:09:09.160,11.5,11.161,11.125,4.64,0.01,-0.01,cm/s2,-0.025,0.093,-0.093,dex Fe/H or M/H,5052.0,66.0,-66.0,Kelvin,2018AJ....155...52A,5.0,5.0,69.38,2457784.0327,0.00049,3.506195,1.8e-05
Qatar-7b,Qatar-7b,low,11,3,10,3,0,0,0,0,1,0,0.46,2019AJ....157...74A,15.92,3.58,2458303.419733,9.3e-05,-9.3e-05,BJD_TDB,Days,2.03202332,3.3e-07,-3.3e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.0,False,1.0,-1.0,Degrees,0.0,0.0,-0.0,Degrees,0.11,False,0.001,-0.001,None,4.84,False,0.05,-0.05,None,2019AJ....157...74A,0.0,0.0,-0.0,0.0,0.0,-0.0,Qatar-7,23:54:03.6389,+37:01:18.584,13.03,13.02,12.927,4.2,0.03,-0.03,cm/s2,0.276,0.071,-0.071,dex Fe/H or M/H,6387.0,38.0,-38.0,Kelvin,2019AJ....157...74A,7.96,7.96,23.43,2458303.419733,9.3e-05,2.03202332,3.3e-07
Qatar-8b,Qatar-8b,low,25,5,11,5,0,0,13,0,1,0,-0.19,2019AJ....157..224A,12.32,4.13,2459362.37977,0.0002,-0.0002,BJD_TDB,Days,3.7146458,2.9e-06,-2.9e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,84.6,False,1.3,-1.1,Degrees,0.0,0.0,-0.0,Degrees,0.1014,False,0.0031,-0.0031,None,6.39,True,0.05,-0.05,None,2020AcA....70..181M,0.0,0.0,-0.0,0.0,0.00035,-0.00035,Qatar-8,10:29:39.1059,+70:31:37.649,11.71,11.126,11.349,4.21,0.02,-0.02,cm/s2,0.025,0.071,-0.071,dex Fe/H or M/H,5738.0,51.0,-51.0,Kelvin,2019AJ....157..224A,5.0,5.0,53.77,2459362.37977,0.0002,3.7146458,2.9e-06
Qatar-9b,Qatar-9b,low,86,21,63,21,6,0,16,0,1,0,0.07,2019AJ....157..224A,31.38,1.87,2459275.4837,0.00012,-0.00012,BJD_TDB,Days,1.54077512,4.5e-07,-4.5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.23,False,0.64,-0.64,Degrees,0.0,0.0,-0.0,Degrees,0.1489,False,0.0009,-0.0009,None,7.236,False,0.069,-0.069,None,2019AJ....157..224A,0.0,0.0,-0.0,0.0,0.0012,-0.0012,Qatar-9,10:42:59.5933,+60:57:51.159,14.023,13.84,13.687,4.61,0.01,-0.01,cm/s2,0.252,0.076,-0.076,dex Fe/H or M/H,4309.0,31.0,-31.0,Kelvin,2019AJ....157..224A,10.7,10.7,24.44,2459275.4837,0.00012,1.54077512,4.5e-07
Qatar-10b,Qatar-10b,low,111,27,37,27,0,0,73,0,1,0,-0.01,2019AJ....157..224A,20.57,2.77,2459108.413073,9.2e-05,-9.2e-05,BJD_TDB,Days,1.64532652,5e-07,-5e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,85.87,False,0.96,-0.96,Degrees,0.0,0.0,-0.0,Degrees,0.1265,False,0.001,-0.001,None,4.9,False,0.12,-0.12,None,2019AJ....157..224A,0.0,0.0,-0.0,0.0,0.00031,-0.00031,Qatar-10,18:57:46.5537,+69:34:15.066,12.868,12.483,12.698,4.36,0.1,-0.1,cm/s2,0.4,0.08,-0.08,dex Fe/H or M/H,6123.0,50.0,-50.0,Kelvin,2019AJ....157..224A,6.64,6.64,30.43,2459108.413073,9.2e-05,1.64532652,5e-07
TIC257060897b,TIC257060897b,medium,14,2,2,2,0,0,11,0,1,0,0.04,2021MNRAS.tmp.2678M,8.95,4.61,2458979.84075,0.00021,-0.00021,BJD_TDB,Days,3.660033,2.2e-06,-2.2e-06,Days,2022arXiv220909673K,0.03,0.02,-0.02,86.0,False,0.7,-0.7,Degrees,20.0,72.0,-72.0,Degrees,0.0841,False,0.0009,-0.0009,None,6.05,False,0.09,-0.09,None,2021MNRAS.tmp.2678M,0.0,0.0,-0.0,0.0,0.00052,-0.00052,TIC257060897,15:10:07.6705,+72:42:37.247,11.81,11.455,11.666,4.2,0.1,-0.1,cm/s2,0.2,0.04,-0.04,dex Fe/H or M/H,6128.0,57.0,-57.0,Kelvin,2021MNRAS.tmp.2678M,6.49,5.62,33.01,2458979.84075,0.00021,3.660033,2.2e-06
TOI-122b,TOI-122b,high,5,0,0,0,0,0,5,0,0,0,0.0,2021AJ....161...13W,6.43,1.25,2458425.60256,0.00063,-0.00063,BJD_TDB,Days,5.07803,1.5e-05,-1.5e-05,Days,2021AJ....161...13W,0.0,0.0,-0.0,88.4,False,0.6,-0.4,Degrees,0.0,0.0,-0.0,Degrees,0.075,False,0.003,-0.003,None,25.2,False,1.5,-1.5,None,2021AJ....161...13W,0.0,0.0,-0.0,0.0,0.0058,-0.0058,TOI-122,22:11:47.2998,-58:56:42.251,15.526,14.266,14.336,4.88,0.05,-0.05,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3403.0,100.0,-100.0,Kelvin,2021AJ....161...13W,31.35,27.15,3.52,2458425.60256,0.00063,5.07803,1.5e-05
TOI-125b,TOI-125b,high,15,0,0,0,0,0,15,0,0,0,0.0,2019AJ....158..177Q,1.16,2.98,2458578.6394,0.0015,-0.0015,BJD_TDB,Days,4.651853,1.9e-05,-1.9e-05,Days,2022arXiv220909673K,0.194,0.041,-0.036,88.92,False,0.71,-0.6,Degrees,323.0,12.0,-14.0,Degrees,0.0295,False,0.0007,-0.0007,None,13.16,False,0.27,-0.27,None,2020MNRAS.492.5399N,0.0,0.0,-0.0,0.0,0.00085,-0.00085,TOI-125,01:34:22.7347,-66:40:32.952,11.02,10.472,10.718,4.52,0.03,-0.03,cm/s2,0.069,0.083,-0.081,dex Fe/H or M/H,5282.0,67.0,-75.0,Kelvin,2019AJ....158..177Q,42.13,36.49,6.43,2458578.6394,0.0015,4.651853,1.9e-05
TOI-125c,TOI-125c,high,8,0,0,0,0,0,8,0,0,0,0.0,2019AJ....158..177Q,1.12,2.88,2458673.1649,0.0018,-0.0018,BJD_TDB,Days,9.154545,4.7e-05,-4.7e-05,Days,2022arXiv220909673K,0.066,0.07,-0.047,88.54,False,0.41,-0.19,Degrees,70.0,100.0,-110.0,Degrees,0.02985,False,0.00099,-0.00099,None,20.66,False,0.42,-0.42,None,2020MNRAS.492.5399N,0.0,0.0,-0.0,0.0,0.0012,-0.0012,TOI-125,01:34:22.7347,-66:40:32.952,11.02,10.472,10.718,4.52,0.03,-0.03,cm/s2,0.069,0.083,-0.081,dex Fe/H or M/H,5282.0,67.0,-75.0,Kelvin,2019AJ....158..177Q,43.94,38.05,6.17,2458673.1649,0.0018,9.154545,4.7e-05
TOI-150.01,TOI-150.01,medium,60,0,0,0,0,0,60,0,0,0,0.31,2019ApJ...877L..29C,8.9,5.89,2459029.1705,0.00016,-0.00016,BJD_TDB,Days,5.8574204,3.3e-06,-3.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.09,False,0.98,-0.68,Degrees,0.0,0.0,-0.0,Degrees,0.0826,False,0.0012,-0.0012,None,8.0,True,0.13,-0.12,None,2019MNRAS.490.1094K,0.0,0.0,-0.0,0.0,0.00016,-0.00016,TOI-150,07:31:51.7567,-73:36:22.149,11.39,11.118,11.341,4.15,0.03,-0.04,cm/s2,0.235,0.083,-0.084,dex Fe/H or M/H,6003.0,104.0,-98.0,Kelvin,2019ApJ...877L..29C,5.76,5.0,46.09,2459029.1705,0.00016,5.8574204,3.3e-06
TOI-157b,TOI-157b,low,189,5,8,5,0,0,181,0,0,0,-0.05,2020A&A...639A..76N,13.24,2.15,2459087.404531,6.9e-05,-6.9e-05,BJD_TDB,Days,2.08453882,5.3e-07,-5.3e-07,Days,2022arXiv220909673K,0.0,0.0,-0.0,82.01,False,0.15,-0.16,Degrees,0.0,0.0,-0.0,Degrees,0.11329,False,0.00056,-0.00056,None,5.785,False,0.066,-0.069,None,2020A&A...639A..76N,0.0,0.0,-0.0,0.0,0.00025,-0.00025,TOI-157,04:54:48.2930,-76:40:49.888,12.725,12.274,12.514,4.28,0.01,-0.01,cm/s2,0.24,0.09,-0.09,dex Fe/H or M/H,5404.0,70.0,-67.0,Kelvin,2020A&A...639A..76N,6.49,6.21,21.41,2459087.404531,6.9e-05,2.08453882,5.3e-07
TOI-163b,TOI-163b,medium,92,0,2,0,0,0,90,0,0,0,0.29,2019MNRAS.490.1094K,10.49,4.42,2459060.866509,9.6e-05,-9.6e-05,BJD_TDB,Days,4.2311144,1.5e-06,-1.5e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.24,False,0.47,-0.45,Degrees,0.0,0.0,-0.0,Degrees,0.0908,False,0.0016,-0.0016,None,7.55,True,0.15,-0.15,None,2019MNRAS.490.1094K,0.0,0.0,-0.0,0.0,0.00015,-0.00015,TOI-163,05:19:04.3570,-71:53:44.150,11.47,11.11,11.219,4.19,0.01,-0.01,cm/s2,0.22,0.041,-0.041,dex Fe/H or M/H,6495.0,90.0,-90.0,Kelvin,2019MNRAS.490.1094K,5.09,5.0,47.97,2459060.866509,9.6e-05,4.2311144,1.5e-06
TOI-169b,TOI-169b,low,39,8,10,8,0,0,29,0,0,0,-1.36,2020A&A...639A..76N,6.3,1.71,2458943.17851,0.00038,-0.00038,BJD_TDB,Days,2.2554454,4.4e-06,-4.4e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,80.98,False,0.31,-0.38,Degrees,0.0,0.0,-0.0,Degrees,0.0866,False,0.0056,-0.0056,None,5.88,False,0.15,-0.16,None,2020A&A...639A..76N,0.0,0.0,-0.0,0.0,0.0013,-0.0013,TOI-169,01:07:06.8032,-75:11:55.960,12.355,12.011,12.238,4.28,0.03,-0.03,cm/s2,0.24,0.09,-0.09,dex Fe/H or M/H,5880.0,54.0,-49.0,Kelvin,2020A&A...639A..76N,13.29,11.51,10.88,2458943.17851,0.00038,2.2554454,4.4e-06
TOI-172b,TOI-172b,medium,6,0,3,0,0,0,2,0,1,0,2.09,2019AJ....157..191R,4.13,4.73,2459085.0724,0.001,-0.001,BJD_TDB,Days,9.476936,2.6e-05,-2.6e-05,Days,2022arXiv220909673K,0.3806,0.0093,-0.009,88.2,False,1.1,-1.0,Degrees,57.1,1.7,-1.7,Degrees,0.05588,False,0.00091,-0.00091,None,11.09,False,0.28,-0.3,None,2019AJ....157..191R,0.0,0.0,-0.0,0.0,0.0013,-0.0013,TOI-172,21:06:31.6564,-26:41:33.474,11.3,10.965,11.193,3.99,0.03,-0.03,cm/s2,0.148,0.079,-0.08,dex Fe/H or M/H,5645.0,50.0,-50.0,Kelvin,2019AJ....157..191R,12.29,10.64,21.2,2459085.0724,0.001,9.476936,2.6e-05
TOI-178d,TOI-178d,high,5,0,0,0,0,0,5,0,0,0,0.0,2021A&A...649A..26L,1.7,2.35,2458747.14623,0.00087,-0.00087,BJD_TDB,Days,6.5577,1.6e-05,-1.6e-05,Days,2021A&A...649A..26L,0.0,0.0,-0.0,88.58,False,0.2,-0.18,Degrees,0.0,0.0,-0.0,Degrees,0.03623,False,0.00087,-0.00087,None,19.57,False,0.47,-0.49,None,2021A&A...649A..26L,0.0,0.0,-0.0,0.0,0.0016,-0.0016,TOI-178,00:29:12.3030,-30:27:13.464,11.95,10.883,11.152,4.45,0.15,-0.15,cm/s2,-0.23,0.05,-0.05,dex Fe/H or M/H,4316.0,70.0,-70.0,Kelvin,2021A&A...649A..26L,33.32,28.86,7.37,2458747.14623,0.00087,6.5577,1.6e-05
TOI-178e,TOI-178e,high,3,0,0,0,0,0,3,0,0,0,0.0,2021A&A...649A..26L,1.2,2.5,2458751.4658,0.0016,-0.0016,BJD_TDB,Days,9.961881,4.2e-05,-4.2e-05,Days,2021A&A...649A..26L,0.0,0.0,-0.0,88.71,False,0.16,-0.13,Degrees,0.0,0.0,-0.0,Degrees,0.0311,False,0.0011,-0.0011,None,25.87,False,0.62,-0.65,None,2021A&A...649A..26L,0.0,0.0,-0.0,0.0,0.0024,-0.0024,TOI-178,00:29:12.3030,-30:27:13.464,11.95,10.883,11.152,4.45,0.15,-0.15,cm/s2,-0.23,0.05,-0.05,dex Fe/H or M/H,4316.0,70.0,-70.0,Kelvin,2021A&A...649A..26L,46.54,40.31,5.4,2458751.4658,0.0016,9.961881,4.2e-05
TOI-178g,TOI-178g,high,2,0,0,0,0,0,2,0,0,0,0.0,2021A&A...649A..26L,1.5,2.17,2458748.0302,0.0023,-0.0023,BJD_TDB,Days,20.7095,0.00014,-0.00014,Days,2021A&A...649A..26L,0.0,0.0,-0.0,88.823,False,0.045,-0.047,Degrees,0.0,0.0,-0.0,Degrees,0.0404,False,0.0019,-0.0019,None,42.13,False,1.01,-1.06,None,2021A&A...649A..26L,0.0,0.0,-0.0,0.0,0.0027,-0.0027,TOI-178,00:29:12.3030,-30:27:13.464,11.95,10.883,11.152,4.45,0.15,-0.15,cm/s2,-0.23,0.05,-0.05,dex Fe/H or M/H,4316.0,70.0,-70.0,Kelvin,2021A&A...649A..26L,38.48,33.32,6.72,2458748.0302,0.0023,20.7095,0.00014
TOI-201b,TOI-201b,medium,9,0,0,0,0,0,9,0,0,0,-0.28,2021AJ....161..235H,6.96,4.81,2459011.79063,0.00012,-0.00012,BJD_TDB,Days,52.978197,1.7e-05,-1.7e-05,Days,2022arXiv220909673K,0.28,0.06,-0.09,88.88,True,0.11,-0.11,Degrees,82.0,14.0,-9.0,Degrees,0.0789,False,0.0013,-0.0013,None,50.9,True,2.9,-2.9,None,2021AJ....161..235H,0.0,0.0,-0.0,0.0,0.00016,-0.00016,TOI-201,05:49:36.4133,-54:54:38.555,9.715,8.745,8.94,4.32,0.01,-0.01,cm/s2,0.24,0.036,-0.036,dex Fe/H or M/H,6394.0,75.0,-75.0,Kelvin,2021AJ....161..235H,5.0,5.0,114.77,2459011.79063,0.00012,52.978197,1.7e-05
TOI-216.01,TOI-216.01,alert,15,0,0,0,0,0,15,0,0,0,-118.44,2019MNRAS.486.4980K,20.94,5.47,2458848.97,0.022,-0.022,BJD_TDB,Days,34.5073,0.0042,-0.0042,Days,2022arXiv220909673K,0.029,0.037,-0.02,89.83,False,0.11,-0.12,Degrees,275.0,55.0,-113.0,Degrees,0.1235,False,0.0014,-0.0014,None,55.07,True,0.86,-0.86,None,2019MNRAS.486.4980K,0.0,0.0,-0.0,0.0,0.00029,-0.00029,TOI-216,04:55:55.2548,-63:15:36.313,12.418,11.903,12.163,4.66,0.2,-0.2,cm/s2,0.32,0.1,-0.1,dex Fe/H or M/H,5026.0,125.0,-125.0,Kelvin,2019MNRAS.486.4980K,5.55,5.55,67.87,2458848.97,0.022,34.5073,0.0042
TOI-216.02,TOI-216.02,alert,26,0,0,0,0,0,26,0,0,0,662.86,2019MNRAS.486.4980K,4.06,2.02,2458892.985,0.064,-0.064,BJD_TDB,Days,17.203,0.013,-0.013,Days,2022arXiv220909673K,0.132,0.059,-0.023,88.364,False,0.042,-0.068,Degrees,193.0,20.0,-35.0,Degrees,0.0833,False,0.0168,-0.0168,None,33.25,False,0.46,-0.65,None,2019MNRAS.486.4980K,0.0,0.0,-0.0,0.0,0.0013,-0.0013,TOI-216,04:55:55.2548,-63:15:36.313,12.418,11.903,12.163,4.66,0.2,-0.2,cm/s2,0.32,0.1,-0.1,dex Fe/H or M/H,5026.0,125.0,-125.0,Kelvin,2019MNRAS.486.4980K,19.11,16.55,8.96,2458892.985,0.064,17.203,0.013
TOI-237b,TOI-237b,high,1,0,0,0,0,0,1,0,0,0,0.0,2021AJ....161...13W,5.12,1.22,2458697.7198,0.0008,-0.0008,BJD_TDB,Days,5.436098,3.9e-05,-3.9e-05,Days,2021AJ....161...13W,0.0,0.0,-0.0,89.5,False,0.4,-0.6,Degrees,0.0,0.0,-0.0,Degrees,0.062,False,0.002,-0.002,None,34.7,False,2.9,-2.9,None,2021AJ....161...13W,0.0,0.0,-0.0,0.0,0.012,-0.012,TOI-237,23:32:58.2699,-29:24:54.188,16.37,14.794,14.754,5.04,0.07,-0.07,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,3212.0,100.0,-100.0,Kelvin,2021AJ....161...13W,48.85,42.31,2.05,2458697.7198,0.0008,5.436098,3.9e-05
TOI-257b,TOI-257b,high,3,0,0,0,0,0,3,0,0,0,0.0,2021MNRAS.502.3704A,1.45,6.49,2458808.67779,0.00051,-0.00051,BJD_TDB,Days,18.387686,2.8e-05,-2.8e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,87.91,False,0.11,-0.1,Degrees,0.0,0.0,-0.0,Degrees,0.03521,False,0.00022,-0.00022,None,17.6,False,0.36,-0.35,None,2021MNRAS.502.3704A,0.0,0.0,-0.0,0.0,0.00027,-0.00027,TOI-257,03:10:03.9823,-50:49:56.580,7.54,7.211,7.417,4.04,0.02,-0.02,cm/s2,0.175,0.099,-0.098,dex Fe/H or M/H,6095.0,89.0,-89.0,Kelvin,2021MNRAS.502.3704A,18.58,16.09,49.41,2458808.67779,0.00051,18.387686,2.8e-05
TOI-269b,TOI-269b,high,25,0,0,0,0,0,25,0,0,0,2.46,2021A&A...650A.145C,5.3,0.99,2458747.91977,0.00036,-0.00036,BJD_TDB,Days,3.6977155,3.7e-06,-3.7e-06,Days,2022arXiv220909673K,0.425,0.082,-0.086,88.14,False,0.78,-0.9,Degrees,74.0,15.0,-15.0,Degrees,0.0638,False,0.002,-0.002,None,18.53,False,0.66,-1.33,None,2021A&A...650A.145C,0.0,0.0,-0.0,0.0,0.0016,-0.0016,TOI-269,05:03:23.0611,-54:10:37.925,14.41,13.92,13.426,4.83,0.03,-0.03,cm/s2,-0.29,0.12,-0.12,dex Fe/H or M/H,3514.0,70.0,-70.0,Kelvin,2021A&A...650A.145C,35.88,31.07,4.26,2458747.91977,0.00036,3.6977155,3.7e-06
TOI-270b,TOI-270b,high,9,0,0,0,0,0,9,0,0,0,0.0,2019NatAs...3.1099G,1.16,1.39,2458891.1154,0.0013,-0.0013,BJD_TDB,Days,3.360156,1.2e-05,-1.2e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,88.65,False,0.85,-1.4,Degrees,0.0,0.0,-0.0,Degrees,0.03,False,0.0015,-0.0015,None,17.48,False,1.49,-3.24,None,2019NatAs...3.1099G,0.0,0.0,-0.0,0.0,0.0016,-0.0016,TOI-270,04:33:39.7202,-51:57:22.436,12.617,12.147,11.631,4.88,0.068,-0.067,cm/s2,-0.17,0.1,-0.1,dex Fe/H or M/H,3386.0,137.0,-131.0,Kelvin,2019NatAs...3.1099G,79.61,68.94,3.42,2458891.1154,0.0013,3.360156,1.2e-05
TOI-270c,TOI-270c,high,20,0,0,0,0,0,20,0,0,0,0.0,2019NatAs...3.1099G,4.52,1.66,2458734.79487,0.00029,-0.00029,BJD_TDB,Days,5.6605746,4.6e-06,-4.6e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.53,False,0.3,-0.42,Degrees,0.0,0.0,-0.0,Degrees,0.05825,False,0.00079,-0.00079,None,27.01,False,0.6,-1.58,None,2019NatAs...3.1099G,0.0,0.0,-0.0,0.0,0.00057,-0.00057,TOI-270,04:33:39.7202,-51:57:22.436,12.617,12.147,11.631,4.88,0.068,-0.067,cm/s2,-0.17,0.1,-0.1,dex Fe/H or M/H,3386.0,137.0,-131.0,Kelvin,2019NatAs...3.1099G,19.46,16.85,14.39,2458734.79487,0.00029,5.6605746,4.6e-06
TOI-270d,TOI-270d,high,10,0,0,0,0,0,10,0,0,0,0.0,2019NatAs...3.1099G,3.52,2.15,2458776.58464,0.00037,-0.00037,BJD_TDB,Days,11.379568,1.2e-05,-1.2e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.69,False,0.16,-0.12,Degrees,0.0,0.0,-0.0,Degrees,0.05143,False,0.00074,-0.00074,None,41.56,False,0.7,-0.83,None,2019NatAs...3.1099G,0.0,0.0,-0.0,0.0,0.00082,-0.00082,TOI-270,04:33:39.7202,-51:57:22.436,12.617,12.147,11.631,4.88,0.068,-0.067,cm/s2,-0.17,0.1,-0.1,dex Fe/H or M/H,3386.0,137.0,-131.0,Kelvin,2019NatAs...3.1099G,23.36,20.23,12.78,2458776.58464,0.00037,11.379568,1.2e-05
TOI-421b,TOI-421b,high,3,0,0,0,0,0,3,0,0,0,0.0,2020AJ....160..114C,0.67,1.05,2458441.2847,0.002,-0.002,BJD_TDB,Days,5.19672,0.00049,-0.00049,Days,2020AJ....160..114C,0.163,0.082,-0.071,85.68,False,0.36,-0.46,Degrees,128.9,24.9,-27.2,Degrees,0.0285,False,0.0019,-0.0019,None,14.34,False,2.35,-2.53,None,2020AJ....160..114C,0.0,0.0,-0.0,0.0,0.0032,-0.0032,TOI-421,05:27:24.8258,-14:16:37.047,9.93,9.535,9.778,4.49,0.03,-0.02,cm/s2,-0.02,0.05,-0.05,dex Fe/H or M/H,5325.0,78.0,-58.0,Kelvin,2020AJ....160..114C,79.81,69.11,3.94,2458441.2847,0.002,5.19672,0.00049
TOI-421c,TOI-421c,high,6,0,0,0,0,0,6,0,0,0,0.0,2020AJ....160..114C,3.24,2.68,2458681.14621,0.00059,-0.00059,BJD_TDB,Days,16.067531,2.8e-05,-2.8e-05,Days,2022arXiv220909673K,0.152,0.042,-0.042,88.353,False,0.078,-0.084,Degrees,114.7,15.6,-13.3,Degrees,0.0542,False,0.0011,-0.0011,None,29.91,False,4.19,-4.03,None,2020AJ....160..114C,0.0,0.0,-0.0,0.0,0.00056,-0.00056,TOI-421,05:27:24.8258,-14:16:37.047,9.93,9.535,9.778,4.49,0.03,-0.02,cm/s2,-0.02,0.05,-0.05,dex Fe/H or M/H,5325.0,78.0,-58.0,Kelvin,2020AJ....160..114C,12.81,11.09,28.88,2458681.14621,0.00059,16.067531,2.8e-05
TOI-431b,TOI-431b,high,21,0,0,0,0,0,21,0,0,0,0.0,2021MNRAS.507.2782O,0.34,1.07,2458596.6668,0.0013,-0.0013,BJD_TDB,Days,0.490052,2.2e-06,-2.2e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,84.3,False,1.1,-1.3,Degrees,0.0,0.0,-0.0,Degrees,0.016,False,0.001,-0.001,None,3.42,False,1.71,-1.12,None,2021MNRAS.507.2782O,0.0,0.0,-0.0,0.0,0.00064,-0.00064,TOI-431,05:33:04.6006,-26:43:28.268,9.13,8.527,8.792,4.6,0.06,-0.06,cm/s2,0.2,0.05,-0.05,dex Fe/H or M/H,4850.0,75.0,-75.0,Kelvin,2021MNRAS.507.2782O,134.25,116.26,3.09,2458596.6668,0.0013,0.490052,2.2e-06
TOI-431d,TOI-431d,high,4,0,0,0,0,0,4,0,0,0,0.0,2021MNRAS.507.2782O,2.32,3.42,2458764.61739,0.00013,-0.00013,BJD_TDB,Days,12.4610213,4.3e-06,-4.3e-06,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.7,False,0.2,-0.2,Degrees,0.0,0.0,-0.0,Degrees,0.041,False,0.002,-0.002,None,28.65,False,128.31,-22.86,None,2021MNRAS.507.2782O,0.0,0.0,-0.0,0.0,0.00036,-0.00036,TOI-431,05:33:04.6006,-26:43:28.268,9.13,8.527,8.792,4.6,0.06,-0.06,cm/s2,0.2,0.05,-0.05,dex Fe/H or M/H,4850.0,75.0,-75.0,Kelvin,2021MNRAS.507.2782O,14.64,12.67,37.22,2458764.61739,0.00013,12.4610213,4.3e-06
TOI-451c,TOI-451c,high,7,0,0,0,0,0,7,0,0,0,0.0,2021AJ....161...65N,1.4,3.57,2459000.1144,0.002,-0.002,BJD_TDB,Days,9.192402,6.4e-05,-6.4e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.61,False,0.27,-0.36,Degrees,0.0,0.0,-0.0,Degrees,0.03237,False,0.00065,-0.00065,None,20.12,False,0.31,-0.47,None,2021AJ....161...65N,0.0,0.0,-0.0,0.0,0.0013,-0.0013,TOI-451,04:11:51.9470,-37:56:23.219,10.94,10.513,10.75,4.527,0.039,-0.038,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,5550.0,56.0,-56.0,Kelvin,2021AJ....161...65N,34.05,29.49,8.17,2459000.1144,0.002,9.192402,6.4e-05
TOI-451d,TOI-451d,high,5,0,0,0,0,0,5,0,0,0,0.0,2021AJ....161...65N,2.32,4.1,2458727.56733,0.00089,-0.00089,BJD_TDB,Days,16.364909,4.3e-05,-4.3e-05,Days,2022arXiv220909673K,0.0,0.0,-0.0,89.25,False,0.084,-0.1,Degrees,0.0,0.0,-0.0,Degrees,0.04246,False,0.00044,-0.00044,None,29.56,False,0.46,-0.69,None,2021AJ....161...65N,0.0,0.0,-0.0,0.0,0.00096,-0.00096,TOI-451,04:11:51.9470,-37:56:23.219,10.94,10.513,10.75,4.527,0.039,-0.038,cm/s2,0.0,0.0,-0.0,dex Fe/H or M/H,5550.0,56.0,-56.0,Kelvin,2021AJ....161...65N,20.07,17.38,14.6,2458727.56733,0.00089,16.364909,4.3e-05
